"Destination","FlightNumber","Code","Delay","lat","lng","country","Date","Time","Airline","Armenian","DayOfWeek","Status"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-30,"20:00:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7187","AUH","Cancelled","24.4667","54.3667","United Arab Emirates",2023-12-04,"20:00:00","Wizz Air",0,"Monday","Cancelled"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-08,"11:50:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-17,"12:25:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-05,"22:00:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-20,"12:25:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-20,"11:50:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-04,"11:25:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-15,"12:25:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-10,"20:35:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-30,"20:35:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-03,"12:25:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-22,"08:50:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-04,"12:25:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-09,"20:00:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-27,"20:35:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-09,"11:50:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-09,"20:35:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-19,"09:25:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-06,"11:50:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-26,"11:10:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-29,"20:00:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-16,"11:50:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-15,"20:00:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-09,"12:25:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7013","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-17,"08:50:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-30,"12:25:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-14,"12:25:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-29,"20:35:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-30,"20:00:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-14,"22:20:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-07,"22:55:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-29,"12:25:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-12-02,"22:20:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-28,"22:20:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-14,"11:50:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-21,"22:55:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-19,"22:20:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-06,"12:25:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-13,"11:50:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-29,"20:35:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-01,"11:50:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-06,"20:00:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-13,"20:35:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Cancelled","24.4667","54.3667","United Arab Emirates",2023-10-24,"08:50:00","Wizz Air",0,"Tuesday","Cancelled"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-02,"11:50:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-10,"20:00:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-20,"11:40:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-27,"20:00:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-27,"11:50:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-16,"20:00:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-23,"11:50:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-05,"22:55:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-12,"22:55:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-03,"11:10:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-27,"12:15:00","Wizz Air",0,"Friday","Ontime"
